ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
5-15,Présidentielle,2022,1,2022-04-10,02,18,05,05,15,85.0,1476.0,1177.0,1177,14.0,0.0,1163.0,6,23.0,406.0,10.0,41.0,95.0,356.0,30.0,113.0,59,13.0,11.0,48.84123384696714,2.3528640987264975
20-65,Présidentielle,2022,1,2022-04-10,06,79,20,20,65,61.0,1272.0,1038.0,1038,11.0,1.0,1026.0,1,25.0,287.0,6.0,48.0,59.0,419.0,31.0,102.0,32,7.0,9.0,48.86622444898695,2.396153945025663
12-6,Présidentielle,2022,1,2022-04-10,08,46,12,12,6,52.0,1601.0,1224.0,1222,13.0,4.0,1205.0,2,24.0,381.0,14.0,81.0,108.0,366.0,31.0,97.0,76,4.0,21.0,48.844009108019016,2.3989751076902306
18-12,Présidentielle,2022,1,2022-04-10,18,70,18,18,12,34.0,1662.0,1136.0,1136,17.0,6.0,1113.0,5,21.0,248.0,16.0,91.0,56.0,545.0,27.0,64.0,24,7.0,9.0,48.89609165112589,2.34254674151687
15-59,Présidentielle,2022,1,2022-04-10,13,57,15,15,59,57.0,1548.0,1142.0,1142,11.0,5.0,1126.0,5,19.0,462.0,14.0,94.0,100.0,212.0,22.0,78.0,104,2.0,14.0,48.835176050380674,2.306220876335173
18-35,Présidentielle,2022,1,2022-04-10,18,69,18,18,35,86.0,1561.0,1286.0,1286,11.0,2.0,1273.0,5,23.0,557.0,18.0,70.0,77.0,290.0,35.0,115.0,71,2.0,10.0,48.88927701970847,2.3342449960349176
11-30,Présidentielle,2022,1,2022-04-10,06,41,11,11,30,114.0,1835.0,1412.0,1412,14.0,3.0,1395.0,2,23.0,383.0,11.0,56.0,50.0,647.0,44.0,142.0,27,3.0,7.0,48.86904003427069,2.374830017412351
10-36,Présidentielle,2022,1,2022-04-10,05,38,10,10,36,103.0,1406.0,1171.0,1171,5.0,3.0,1163.0,5,21.0,440.0,14.0,25.0,53.0,383.0,35.0,143.0,35,5.0,4.0,48.87353608263789,2.3546141288776656
18-34,Présidentielle,2022,1,2022-04-10,18,69,18,18,34,82.0,1703.0,1339.0,1339,10.0,3.0,1326.0,0,23.0,462.0,13.0,93.0,84.0,401.0,40.0,127.0,67,5.0,11.0,48.89071228409218,2.3317843078138907
16-2,Présidentielle,2022,1,2022-04-10,14,62,16,16,2,80.0,1567.0,1291.0,1294,4.0,1.0,1289.0,0,0.0,617.0,15.0,51.0,254.0,87.0,4.0,42.0,206,1.0,12.0,48.86097288386615,2.2756918827800665
